folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,nature,marginal_note_id,marginal_note_type,marginal_note_form
72r,p450_l17_o07,tripudio ,p450_l17_o07_a,triũpho,S22,F2,normal,,,
72r,p450_l18_o02,radio ,p450_l18_o02_a,luceo,S22,F2,normal,,,
72r,p450_l18_o08,c̃silio ,p450_l18_o08_a,c̃siliũ do,S23,F4,normal,,,
72r,p450_l19_o03,defolio ,p450_l19_o03_a,folia carpo,S23,F4,normal,,,
72r,p450_l20_o03,linia ,p450_l20_o03_a,blandim̃tũ,S22,F2,normal,p450_l20_o03_b,S53,F4
72r,p450_l20_o04,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,
72r,p450_l20_o06,auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,normal,,,
72r,p450_l20_o07,auxilior ,p450_l20_o07_a,faueo ADIUV ͦ,S22,F3,normal,,,
72r,p450_l21_o02,decorio ,p450_l21_o02_a,corrũ TOLL ͦ,S23,F4,normal,,,
72r,p450_l21_o07,uarius ,p450_l21_o07_a,diuersꝰ,S22,F2,normal,,,
72r,p450_l21_o10,bassiũ ,p450_l21_o10_a,osculũ,S22,F2,normal,,,
72r,p450_l22_o01,bassio ,p450_l22_o01_a,osculor,S22,F2,normal,,,
72r,p450_l22_o04,spacior ,p450_l22_o04_a,spaciũ do,S23,F4,normal,,,
72r,p450_l23_o03,uitiũ ,p450_l23_o03_a,macula ł delictũ,S22,F3,normal,,,
72r,p450_l23_o07,itaq ,p450_l23_o07_a,ergo,S22,F2,normal,,,
72r,p450_l24_o04,appositũ ,p450_l24_o04_a,adsociatũ,S22,F2,normal,,,
72r,p450_l24_o09,penultima ,p450_l24_o09_a,nunti?,S53,F2,normal,,,
72r,p450_l25_o07,excepto  ,,,,,,p450_l25_o07_a,S53,F4
72r,p450_l25_o08,hio ,p450_l25_o08_a,spiro,S22,F2,normal,,,
72r,p450_l26_o01,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,
72r,p450_l26_o04,lic& ,p450_l26_o04_a,VERB ͧ ͫ QUOD EST  hio,S53,F4,normal,,,
72r,p450_l27_o02,Amplio ,p450_l27_o02_a,amplifico,S22,F2,normal,p450_l27_o02_b,S54,F3
