lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p452_l24_o07,06r,ferculum,Uas ubi cibu ferunt̃,S23,F4,,,
p452_l25_o01,06r,uincio,constringo necto  ,S22,F3,uinco supero,S22,F2
p452_l25_o04,06r,cingulum,a cingendo,S54,F3,,,
p452_l25_o08,06r,iaculum,nisi lũ s̃ nomina,S53,F4,,,
p452_l26_o06-07,06r,ĩ .imen. ,s̃ que seruant consonantẽ uerbi,S53,F4,,,
p452_l26_o10,06r,regimen,gubernatio regis,S23,F3,,,
p452_l27_o01,06r,tego,cooperio ,S22,F2,,,
p452_l27_o02,06r,tegimen,cooperimentũ,S22,F2,,,
p452_l27_o04-05,06r,ante cunđ.,s̃ seruat᷑ consonan positionis,S53,F4,,,
p452_l28_o03,06r,uerecunđ,ꝗ habet uerecundiã,S23,F4,,,
p452_l28_o11,06v,quoque,s silimit̃,S22,F2,,,
p452_l29_o01,06v,quorum,s̃ nominũ,S3232,F2,,,
p452_l29_o05,06v,pleraq;,plurima,S22,F2,,,
p452_l30_o03,06v,quae,uerba,S3232,F2,,,
p452_l31_o01,06v,significationem,sensũ,S22,F2,,,
p452_l31_o05,06v,uerbaliter,qͣsi ꝑũba,S22,F2,,,
p452_l31_o10,06v,presertim,ĩ maxime ł ominino,S22,F2,,,
p453_l02_o02,06v,ubiq;,in õni nomine,S53,F3,,,
p453_l02_o06,06v,positionis ,s̃ pͥme persone,S53,F3,,,
p453_l03_o02,06v,sole,s littere due.,S53,F3,,,
p453_l04_o03,06v,presentis ,tẽporis indicatiui,S53,F3,,,
p453_l05_o08,06v,censor,iudex,S22,F2,,,
p453_l04_o11,06v,defensor,ꝓtector,S22,F2,,,
p453_l04_o12,06v,conusltor,inꝗsitor consiliarius,S22,F3,,,
p453_l05_o01,06v,amator,dilector,S22,F2,,,
p453_l05_o02,06v,uenator,inse[quor] ferarũ ,S23,F3,,,
p453_l05_o03,06v,lector,ab oficiũ legendi,S54,F3,,,
p453_l05_o04,06v,petitor,postulator ,S22,F2,,,
p453_l05_o05,06v,auditor,discipulus dr̃,S22,F3,,,
p453_l08_o11,06v,desinentium,terminanaciũ,S22,F2,,,
p453_l09_o04,06v,seruantium ,(pr)eseruant,S54,F2,,,
p453_l09_o07,06v,sudo,labor,S22,F2,,,
p453_l10_o04,06v,clamor,ꝓira ponit᷑,S23,F3,,,
p453_l10_o05,06v,obsono,c̃tradico,S22,F2,,,
p453_l10_o06,06v,opsonor,detractio  oblocucio,S22,F3,,,
p453_l10_o08,06v,error,uagor  ,S22,F2,,,
p453_l10_o09,06v,rubeo,ꝓcolore ,S53,F3,,,
p453_l10_o10,06v,rubor,uerec̃d,S22,F2,,,
p453_l10_o11,06v,marceo,defitio areo tabesco siue macior,S22,F3,,,
p453_l11_o02,06v,candeo,splendor,S22,F2,,,
p453_l11_o03,06v,candor,albor,S22,F2,,,
p453_l11_o04,06v,algeo,a frigeo,S54,F3,,,
