folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
80r,p457_l19_o10,Aqua ,p457_l19_o10_a,ab ęqualitate dr̃,S54,F4,,,
80r,p457_l20_o04,Mora ,p457_l20_o04_a,tarditas,S22,F2,,,
80r,p457_l20_o05,moror ,p457_l20_o05_a,tardo,S22,F2,,,
80r,p457_l20_o07,Quadra ,p457_l20_o07_a,quadrangulũ,S22,F2,p457_l20_o07_b,S23,F4
80r,p457_l20_o10,Cura ,p457_l20_o10_a,cura dr̃ eo qđ cor urat sollicitudine/res,S25,F4,,,
80r,p457_l21_o03,causa ,p457_l21_o03_a,res,S25,F2,,,
80r,p457_l21_o04,causor ,p457_l21_o04_a,causas q̃ro,S25,F4,,,
80r,p457_l21_o10,Multa ,p457_l21_o10_a,occisio censꝰ/ł tributum,S22,F3,,,
80r,p457_l21_o11,Multo ,p457_l21_o11_a,dãpno occido/condẽpno,S22,F3,,,
80r,p457_l21_o07,Rota ,p457_l21_o07_a,uolubilitas,S22,F2,,,
80r,p457_l21_o08,Roto ,p457_l21_o08_a,uoluo,S22,F2,,,
80r,p457_l22_o02,Rixa ,p457_l22_o02_a,c̃tentio,S22,F2,,,
80r,p457_l22_o03,Rixo ,p457_l22_o03_a,contendo,S22,F2,,,
80r,p457_l22_o05,Lixa ,p457_l22_o05_a,seruus militũ/siue mercenarius,S22,F3,p457_l22_o05_b,S23,F5
80r,p457_l22_o06,Elixo ,,,,,p457_l22_o06_a,S5,F5
80r,p457_l22_o10,Conuiuor ,p457_l22_o10_a,epulor,S22,F2,,,
80r,p457_l23_o01,Baccha ,p457_l23_o01_a,insania dem̃tia,S22,F3,,,
80r,p457_l23_o02,Bacchor ,p457_l23_o02_a,insanio seuio inde bacchus/appellat ᷑uinum,S24,F4,,,
80r,p457_l25_o03,accidentib; ,p457_l25_o03_a,÷ adiectiuis nõibus,S53,F3,,,
80r,p457_l26_o01,pene ,p457_l26_o01_a,exceptis .F.K.H.,S53,F3,,,
80r,p457_l26_o07,ꝓbus ,p457_l26_o07_a,bonus ęquus/ꝑfectus,S22,F3,,,
80r,p457_l26_o08,ꝓbo ,p457_l26_o08_a,laudo,S22,F2,,,
80r,p457_l26_o11,Opacus ,p457_l26_o11_a,spissus/densus,S22,F3,p457_l26_o11_b,S22,F3
80r,p457_l27_o01,Opaco ,p457_l27_o01_a,obumbro spisso ł tenebro/denso,S22,F3,,,
80r,p457_l27_o04,Amico ,p457_l27_o04_a,amicũ fatio ł amicitiã c̃iungo,S23,F4,,,
80r,f80r_l12_o10,Mundus ,f80r_l12_o10_a,Platꝰ,S22,F2,,,
80r,f80r_l13_o01,Mundo ,f80r_l13_o01_a,Pio Purgo,S22,F2,,,
80r,p457_l27_o07,Nudus ,p457_l27_o07_a,aꝑtꝰ,S22,F2,,,
80r,p457_l27_o08,Nudo ,p457_l27_o08_a,aperio,S22,F2,,,
80r,p457_l27_o10,Fedus ,p457_l27_o10_a,turpis,S22,F2,p457_l27_o10_b,S5,F5
80r,p457_l28_o01,Fedo ,p457_l28_o01_a,putresco/turpo,S22,F3,p457_l28_o01_b,S5,F5
80r,p457_l28_o04,Vagus ,p457_l28_o04_a,instabilis,S22,F2,p457_l28_o04_b,S22,F3
80r,p457_l28_o05,Vagor ,p457_l28_o05_a,erro hac & illac uergo,S23,F4,p457_l28_o05_b,S22,F3
80r,f80r_l14_o02,Animꝰ ,f80r_l14_o02_a,sensꝰ,S22,F2,,,
80r,f80r_l14_o03,Animo ,f80r_l14_o03_a,alo,S22,F2,,,
80r,p457_l28_o08,Pius ,p457_l28_o08_a,clemens,S22,F2,,,
80r,p457_l28_o09,Pio ,p457_l28_o09_a,purgo,S22,F2,,,
80r,p457_l28_o12,Solus ,p457_l28_o12_a,solitarius,S22,F2,,,
80r,p457_l28_o13,Desolo ,,,,,p457_l28_o13_a,S23,F4
80r,p457_l29_o09,Sanus ,p457_l29_o09_a,sanus animi sani/tas corporis,S23,F3,,,
80r,p457_l30_o06,Serenus ,p457_l30_o06_a,humilis tranquillus/mitis,S22,F3,,,
80r,p457_l30_o07,Sereno ,p457_l30_o07_a,mitesco Placo sedo,S22,F3,,,
80r,p457_l30_o02,Alienus ,p457_l30_o02_a,extraneus,S22,F2,,,
80r,p457_l30_o03,Alieno ,p457_l30_o03_a,peregrino,S22,F2,,,
80r,p457_l30_o09,Vnus ,p457_l30_o09_a,VNYs uno -as ⁊ unio unionis,S24,F3,,,
80r,p457_l30_o10,Aduno ,p457_l30_o10_a,congrego c̃iungo,S22,F3,,,
